year,ECODISTRIC,Province_ID,Texture,deltaSOCAdj
1991,827,SK,medium,0.039757608
1992,827,SK,medium,0.137388978
1993,827,SK,medium,0.058452728
1994,827,SK,medium,0.089348838
1995,827,SK,medium,0.034779578
1996,827,SK,medium,0.128268778
1997,827,SK,medium,0.087122178
1998,827,SK,medium,0.071292648
1999,827,SK,medium,0.142778258
2000,827,SK,medium,0.059098338
2001,827,SK,medium,0.098892287
2002,827,SK,medium,-0.083445692
2003,827,SK,medium,0.065757738
2004,827,SK,medium,0.079872898
2005,827,SK,medium,0.186651148
2006,827,SK,medium,0.157267398
2007,827,SK,medium,-0.023506692
2008,827,SK,medium,0.097026135
2009,827,SK,medium,0.203278418
2010,827,SK,medium,0.163221928
2011,827,SK,medium,0.043320948
2012,827,SK,medium,0.141000718
2013,827,SK,medium,0.190067638
2014,827,SK,medium,0.217176708
2015,827,SK,medium,0.153609038
2016,827,SK,medium,0.073228298
2017,827,SK,medium,0.227210608
2018,827,SK,medium,-0.039320292
2019,827,SK,medium,0.042034788
2020,827,SK,medium,0.103113305
2021,827,SK,medium,0.109491604
2022,827,SK,medium,-0.181630792
1990,828,AB,coarse,0.042280546
1991,828,AB,coarse,0.010819122
1992,828,AB,coarse,0.095168492
1993,828,AB,coarse,0.017036332
1994,828,AB,coarse,0.086213272
1995,828,AB,coarse,0.020644032
1996,828,AB,coarse,0.103039732
1997,828,AB,coarse,0.023840342
1998,828,AB,coarse,0.025880842
1999,828,AB,coarse,0.075517682
2000,828,AB,coarse,0.087004242
2001,828,AB,coarse,-0.030273848
2002,828,AB,coarse,-0.074945698
2003,828,AB,coarse,0.004989082
2004,828,AB,coarse,0.074856022
2005,828,AB,coarse,0.086967702
2006,828,AB,coarse,0.117496392
2007,828,AB,coarse,0.066843352
2008,828,AB,coarse,0.031205593
2009,828,AB,coarse,0.182901802
2010,828,AB,coarse,0.120763822
2011,828,AB,coarse,0.084570892
2012,828,AB,coarse,0.097785242
2013,828,AB,coarse,0.083400292
2014,828,AB,coarse,0.122837502
2015,828,AB,coarse,0.045866792
2016,828,AB,coarse,0.003147052
2017,828,AB,coarse,0.199636302
2018,828,AB,coarse,0.007187512
2019,828,AB,coarse,0.044654279
2020,828,AB,coarse,-0.038209108
2021,828,AB,coarse,0.182622102
2022,828,AB,coarse,-0.124513698
1990,828,AB,medium,0.04894503
1991,828,AB,medium,-0.01589541
1992,828,AB,medium,0.15761859
1993,828,AB,medium,-0.00515727
1994,828,AB,medium,0.13549149
1995,828,AB,medium,-0.00137039
1996,828,AB,medium,0.16704749
1997,828,AB,medium,0.00226348
1998,828,AB,medium,0.00433622
1999,828,AB,medium,0.10642168
2000,828,AB,medium,0.12989964
2001,828,AB,medium,-0.11404551
2002,828,AB,medium,-0.20816631
2003,828,AB,medium,-0.04176591
2004,828,AB,medium,0.10531175
2005,828,AB,medium,0.1313753
2006,828,AB,medium,0.19345029
2007,828,AB,medium,0.0869226
2008,828,AB,medium,0.01042396
2009,828,AB,medium,0.32178199
2010,828,AB,medium,0.19256779
2011,828,AB,medium,0.11420189
2012,828,AB,medium,0.13847789
2013,828,AB,medium,0.1069626
2014,828,AB,medium,0.18636229
2015,828,AB,medium,0.02652877
2016,828,AB,medium,-0.06297319
2017,828,AB,medium,0.34069359
2018,828,AB,medium,-0.05359505
2019,828,AB,medium,0.02133722
2020,828,AB,medium,-0.14810631
2021,828,AB,medium,0.30690339
2022,828,AB,medium,-0.32277911
1990,829,AB,coarse,0.042025295
1991,829,AB,coarse,-0.003644914
1992,829,AB,coarse,0.032074965
1993,829,AB,coarse,-0.044588705
1994,829,AB,coarse,0.043920665
1995,829,AB,coarse,-0.010994435
1996,829,AB,coarse,0.089518125
1997,829,AB,coarse,0.011643645
1998,829,AB,coarse,0.011268892
1999,829,AB,coarse,0.066945735
2000,829,AB,coarse,0.032783905
2001,829,AB,coarse,-0.016924365
2002,829,AB,coarse,-0.077783645
2003,829,AB,coarse,-0.033217325
2004,829,AB,coarse,0.071730995
2005,829,AB,coarse,0.070865625
2006,829,AB,coarse,0.100506405
2007,829,AB,coarse,0.063262145
2008,829,AB,coarse,0.036673215
2009,829,AB,coarse,0.146481355
2010,829,AB,coarse,0.041265045
2011,829,AB,coarse,0.055819185
2012,829,AB,coarse,0.093563575
2013,829,AB,coarse,0.037341985
2014,829,AB,coarse,0.118134455
2015,829,AB,coarse,0.040541305
2016,829,AB,coarse,0.030024325
2017,829,AB,coarse,0.095731055
2018,829,AB,coarse,0.047735965
2019,829,AB,coarse,0.000880586
2020,829,AB,coarse,-0.034531635
2021,829,AB,coarse,0.112077755
2022,829,AB,coarse,-0.083321915
1990,829,AB,medium,0.040298768
1991,829,AB,medium,-0.050488292
1992,829,AB,medium,0.017646168
1993,829,AB,medium,-0.133902592
1994,829,AB,medium,0.038783548
1995,829,AB,medium,-0.068620332
1996,829,AB,medium,0.128025308
1997,829,AB,medium,-0.025160281
1998,829,AB,medium,-0.028778934
1999,829,AB,medium,0.079351008
2000,829,AB,medium,0.011437958
2001,829,AB,medium,-0.087997642
2002,829,AB,medium,-0.208674992
2003,829,AB,medium,-0.120752762
2004,829,AB,medium,0.087428008
2005,829,AB,medium,0.087518208
2006,829,AB,medium,0.144779508
2007,829,AB,medium,0.070383508
2008,829,AB,medium,0.015530538
2009,829,AB,medium,0.228903808
2010,829,AB,medium,0.021850808
2011,829,AB,medium,0.047154278
2012,829,AB,medium,0.119821008
2013,829,AB,medium,0.008224578
2014,829,AB,medium,0.164119308
2015,829,AB,medium,0.011502038
2016,829,AB,medium,-0.011327572
2017,829,AB,medium,0.116172308
2018,829,AB,medium,0.023303748
2019,829,AB,medium,-0.068667672
2020,829,AB,medium,-0.137794692
2021,829,AB,medium,0.149695508
2022,829,AB,medium,-0.230114392
1990,830,SK,coarse,0.089130721
1991,830,SK,coarse,0.105086251
1992,830,SK,coarse,-0.012577359
1993,830,SK,coarse,0.083877911
1994,830,SK,coarse,0.057237168
1995,830,SK,coarse,0.029394801
